interview__key,r_members__id,decision_code,decision_label,decision_maker_1,decision_maker_2,decision_maker_3,decision_maker_4
"14-99-63-02",1,"weai_16","Expenditure on Children's Education",1,,,
"14-99-63-02",1,"weai_17","How to Allocate Remittances",1,,,
"14-99-63-02",1,"weai_18","Whether to Borrow Money and How Much to Borrow?",1,2,,
"14-99-63-02",1,"weai_19","Whether They Attend a Training or Seminar",2,,,
"14-99-63-02",1,"weai_20","If They will Adopt or Use the New Techniques/Knowledge They Have Acquired or Learned",1,2,,
"14-99-63-02",1,"weai_21","Use of Land",2,,,
"14-99-63-02",2,"weai_1","Crop Farming like what Crop to Grow, when and How to Till and Manage the Crops (Weeding, Fertilizer, Etc.)",1,2,,
"14-99-63-02",2,"weai_2","Marketing of Crop Farm Produce (when/Whom/where to Sell, Who Negotiates the Price)?",1,2,,
"14-99-63-02",2,"weai_3","How any Cash Earned from Crop Farming is Spent?",2,,,
"14-99-63-02",2,"weai_4","How Much Money to Spend on Farm Inputs?",2,,,
"14-99-63-02",2,"weai_5","Who Makes the Decision if the Household Need to Consult an Agricultural Technician, Extension Agent, or Other People Who are Experts",2,,,
"14-99-63-02",2,"weai_6","Purchase and Sale of Livestock Like Cattle and Goats (E.g. which to Buy, where/when to Sell, Etc.)",2,,,
"14-99-63-02",2,"weai_7","How any Cash Earned from the Sale of Livestock or Livestock Products Like Milk and Eggs is Spent?",1,2,,
"14-99-63-02",2,"weai_8","The Use of Large Livestock (Cattle, Donkey)",2,,,
"14-99-63-02",2,"weai_9","The Use of Small Livestock (Goats, Sheep, Poultry)",1,2,,
"14-99-63-02",2,"weai_10","The Types of Non-Agricultural Activities your Household Involves Itself In, Such as Small Business, Casual and Wage Labour, and Providing Services to Others",1,2,,
"14-99-63-02",2,"weai_11","How any Cash Earned from Wage Work or Non-Farm Work is Spent",2,,,
"14-99-63-02",2,"weai_12","How Much Money to Spend on Food?",2,,,
"14-99-63-02",2,"weai_13","How Much Money to Spend on Capital Investments (Machinery, Water Pumps, Etc.) for Agriculture?",2,,,
"14-99-63-02",2,"weai_14","Purchase and Sale of Durable Goods (E.g., Purchase and Sale of TVs, Radios, Fridge)",2,,,
"14-99-63-02",2,"weai_15","Purchase and Sale of Land and Houses?",2,,,
"14-99-63-02",2,"weai_16","Expenditure on Children's Education",2,,,
"14-99-63-02",2,"weai_17","How to Allocate Remittances",1,2,,
"14-99-63-02",2,"weai_18","Whether to Borrow Money and How Much to Borrow?",1,2,,
"14-99-63-02",2,"weai_19","Whether They Attend a Training or Seminar",1,2,,
"14-99-63-02",2,"weai_20","If They will Adopt or Use the New Techniques/Knowledge They Have Acquired or Learned",2,,,
"14-99-63-02",2,"weai_21","Use of Land",1,2,,
"19-21-27-06",2,"weai_1","Crop Farming like what Crop to Grow, when and How to Till and Manage the Crops (Weeding, Fertilizer, Etc.)",1,,,
"19-21-27-06",2,"weai_2","Marketing of Crop Farm Produce (when/Whom/where to Sell, Who Negotiates the Price)?",1,,,
"19-21-27-06",2,"weai_3","How any Cash Earned from Crop Farming is Spent?",1,,,
"19-21-27-06",2,"weai_4","How Much Money to Spend on Farm Inputs?",1,,,
"19-21-27-06",2,"weai_5","Who Makes the Decision if the Household Need to Consult an Agricultural Technician, Extension Agent, or Other People Who are Experts",1,,,
"19-21-27-06",2,"weai_6","Purchase and Sale of Livestock Like Cattle and Goats (E.g. which to Buy, where/when to Sell, Etc.)",1,,,
"19-21-27-06",2,"weai_7","How any Cash Earned from the Sale of Livestock or Livestock Products Like Milk and Eggs is Spent?",1,,,
"19-21-27-06",2,"weai_8","The Use of Large Livestock (Cattle, Donkey)",1,,,
"19-21-27-06",2,"weai_9","The Use of Small Livestock (Goats, Sheep, Poultry)",1,,,
"19-21-27-06",2,"weai_10","The Types of Non-Agricultural Activities your Household Involves Itself In, Such as Small Business, Casual and Wage Labour, and Providing Services to Others",1,,,
"19-21-27-06",2,"weai_11","How any Cash Earned from Wage Work or Non-Farm Work is Spent",1,,,
"19-21-27-06",2,"weai_12","How Much Money to Spend on Food?",1,,,
"19-21-27-06",2,"weai_13","How Much Money to Spend on Capital Investments (Machinery, Water Pumps, Etc.) for Agriculture?",1,,,
"19-21-27-06",2,"weai_14","Purchase and Sale of Durable Goods (E.g., Purchase and Sale of TVs, Radios, Fridge)",1,,,
"19-21-27-06",2,"weai_15","Purchase and Sale of Land and Houses?",1,,,
"19-21-27-06",2,"weai_16","Expenditure on Children's Education",1,,,
"19-21-27-06",2,"weai_17","How to Allocate Remittances",1,2,,
"19-21-27-06",2,"weai_18","Whether to Borrow Money and How Much to Borrow?",1,,,
"19-21-27-06",2,"weai_19","Whether They Attend a Training or Seminar",1,,,
"19-21-27-06",2,"weai_20","If They will Adopt or Use the New Techniques/Knowledge They Have Acquired or Learned",1,,,
"19-21-27-06",2,"weai_21","Use of Land",1,,,
"37-56-42-12",1,"weai_1","Crop Farming like what Crop to Grow, when and How to Till and Manage the Crops (Weeding, Fertilizer, Etc.)",1,2,,
"37-56-42-12",1,"weai_2","Marketing of Crop Farm Produce (when/Whom/where to Sell, Who Negotiates the Price)?",1,2,,
"37-56-42-12",1,"weai_3","How any Cash Earned from Crop Farming is Spent?",1,2,,
"37-56-42-12",1,"weai_4","How Much Money to Spend on Farm Inputs?",1,2,,
"37-56-42-12",1,"weai_5","Who Makes the Decision if the Household Need to Consult an Agricultural Technician, Extension Agent, or Other People Who are Experts",1,2,,
"37-56-42-12",1,"weai_10","The Types of Non-Agricultural Activities your Household Involves Itself In, Such as Small Business, Casual and Wage Labour, and Providing Services to Others",1,2,,
"37-56-42-12",1,"weai_11","How any Cash Earned from Wage Work or Non-Farm Work is Spent",1,2,,
"37-56-42-12",1,"weai_12","How Much Money to Spend on Food?",1,2,,
"37-56-42-12",1,"weai_13","How Much Money to Spend on Capital Investments (Machinery, Water Pumps, Etc.) for Agriculture?",1,2,,
"37-56-42-12",1,"weai_14","Purchase and Sale of Durable Goods (E.g., Purchase and Sale of TVs, Radios, Fridge)",1,2,,
"37-56-42-12",1,"weai_15","Purchase and Sale of Land and Houses?",1,2,,
"37-56-42-12",1,"weai_16","Expenditure on Children's Education",1,2,,
"37-56-42-12",1,"weai_17","How to Allocate Remittances",1,2,,
"37-56-42-12",1,"weai_18","Whether to Borrow Money and How Much to Borrow?",1,2,,
"37-56-42-12",1,"weai_19","Whether They Attend a Training or Seminar",1,2,,
"37-56-42-12",1,"weai_20","If They will Adopt or Use the New Techniques/Knowledge They Have Acquired or Learned",1,2,,
"37-56-42-12",1,"weai_21","Use of Land",1,2,,
"37-56-42-12",2,"weai_1","Crop Farming like what Crop to Grow, when and How to Till and Manage the Crops (Weeding, Fertilizer, Etc.)",2,,,
"37-56-42-12",2,"weai_2","Marketing of Crop Farm Produce (when/Whom/where to Sell, Who Negotiates the Price)?",1,2,,
"37-56-42-12",2,"weai_3","How any Cash Earned from Crop Farming is Spent?",1,2,,
"37-56-42-12",2,"weai_4","How Much Money to Spend on Farm Inputs?",1,2,,
"37-56-42-12",2,"weai_5","Who Makes the Decision if the Household Need to Consult an Agricultural Technician, Extension Agent, or Other People Who are Experts",1,2,,
"37-56-42-12",2,"weai_10","The Types of Non-Agricultural Activities your Household Involves Itself In, Such as Small Business, Casual and Wage Labour, and Providing Services to Others",1,2,,
"37-56-42-12",2,"weai_11","How any Cash Earned from Wage Work or Non-Farm Work is Spent",1,2,,
"37-56-42-12",2,"weai_12","How Much Money to Spend on Food?",1,2,,
"37-56-42-12",2,"weai_13","How Much Money to Spend on Capital Investments (Machinery, Water Pumps, Etc.) for Agriculture?",1,2,,
"37-56-42-12",2,"weai_14","Purchase and Sale of Durable Goods (E.g., Purchase and Sale of TVs, Radios, Fridge)",1,2,,
"37-56-42-12",2,"weai_15","Purchase and Sale of Land and Houses?",1,2,,
"37-56-42-12",2,"weai_16","Expenditure on Children's Education",1,2,,
"37-56-42-12",2,"weai_17","How to Allocate Remittances",1,2,,
"37-56-42-12",2,"weai_18","Whether to Borrow Money and How Much to Borrow?",1,2,,
"37-56-42-12",2,"weai_19","Whether They Attend a Training or Seminar",1,2,,
"37-56-42-12",2,"weai_20","If They will Adopt or Use the New Techniques/Knowledge They Have Acquired or Learned",1,2,,
"37-56-42-12",2,"weai_21","Use of Land",1,2,,
"16-65-20-98",1,"weai_1","Crop Farming like what Crop to Grow, when and How to Till and Manage the Crops (Weeding, Fertilizer, Etc.)",1,2,,
"16-65-20-98",1,"weai_2","Marketing of Crop Farm Produce (when/Whom/where to Sell, Who Negotiates the Price)?",1,2,,
"16-65-20-98",1,"weai_3","How any Cash Earned from Crop Farming is Spent?",1,2,,
"16-65-20-98",1,"weai_4","How Much Money to Spend on Farm Inputs?",1,2,,
"16-65-20-98",1,"weai_5","Who Makes the Decision if the Household Need to Consult an Agricultural Technician, Extension Agent, or Other People Who are Experts",1,2,,
"16-65-20-98",1,"weai_10","The Types of Non-Agricultural Activities your Household Involves Itself In, Such as Small Business, Casual and Wage Labour, and Providing Services to Others",1,2,,
"16-65-20-98",1,"weai_11","How any Cash Earned from Wage Work or Non-Farm Work is Spent",1,2,,
"16-65-20-98",1,"weai_12","How Much Money to Spend on Food?",1,2,,
"16-65-20-98",1,"weai_13","How Much Money to Spend on Capital Investments (Machinery, Water Pumps, Etc.) for Agriculture?",1,2,,
"16-65-20-98",1,"weai_14","Purchase and Sale of Durable Goods (E.g., Purchase and Sale of TVs, Radios, Fridge)",1,2,,
"16-65-20-98",1,"weai_15","Purchase and Sale of Land and Houses?",1,2,,
"16-65-20-98",1,"weai_16","Expenditure on Children's Education",1,2,,
"16-65-20-98",1,"weai_17","How to Allocate Remittances",1,2,,
"16-65-20-98",1,"weai_18","Whether to Borrow Money and How Much to Borrow?",1,2,,
"16-65-20-98",1,"weai_19","Whether They Attend a Training or Seminar",1,2,,
"16-65-20-98",1,"weai_20","If They will Adopt or Use the New Techniques/Knowledge They Have Acquired or Learned",1,2,,
"16-65-20-98",1,"weai_21","Use of Land",1,2,,
"39-03-54-61",2,"weai_1","Crop Farming like what Crop to Grow, when and How to Till and Manage the Crops (Weeding, Fertilizer, Etc.)",1,2,,
"39-03-54-61",2,"weai_2","Marketing of Crop Farm Produce (when/Whom/where to Sell, Who Negotiates the Price)?",1,2,,
"39-03-54-61",2,"weai_3","How any Cash Earned from Crop Farming is Spent?",1,2,,
"39-03-54-61",2,"weai_4","How Much Money to Spend on Farm Inputs?",1,2,,
"39-03-54-61",2,"weai_5","Who Makes the Decision if the Household Need to Consult an Agricultural Technician, Extension Agent, or Other People Who are Experts",1,2,,
"39-03-54-61",2,"weai_6","Purchase and Sale of Livestock Like Cattle and Goats (E.g. which to Buy, where/when to Sell, Etc.)",1,,,
"39-03-54-61",2,"weai_7","How any Cash Earned from the Sale of Livestock or Livestock Products Like Milk and Eggs is Spent?",1,,,
"39-03-54-61",2,"weai_8","The Use of Large Livestock (Cattle, Donkey)",1,,,
"39-03-54-61",2,"weai_9","The Use of Small Livestock (Goats, Sheep, Poultry)",1,,,
"39-03-54-61",2,"weai_10","The Types of Non-Agricultural Activities your Household Involves Itself In, Such as Small Business, Casual and Wage Labour, and Providing Services to Others",1,,,
"39-03-54-61",2,"weai_11","How any Cash Earned from Wage Work or Non-Farm Work is Spent",1,,,
"39-03-54-61",2,"weai_12","How Much Money to Spend on Food?",2,,,
"39-03-54-61",2,"weai_13","How Much Money to Spend on Capital Investments (Machinery, Water Pumps, Etc.) for Agriculture?",1,,,
"39-03-54-61",2,"weai_14","Purchase and Sale of Durable Goods (E.g., Purchase and Sale of TVs, Radios, Fridge)",2,,,
"39-03-54-61",2,"weai_15","Purchase and Sale of Land and Houses?",1,,,
"39-03-54-61",2,"weai_16","Expenditure on Children's Education",2,,,
"39-03-54-61",2,"weai_17","How to Allocate Remittances",2,,,
"39-03-54-61",2,"weai_18","Whether to Borrow Money and How Much to Borrow?",1,,,
"39-03-54-61",2,"weai_19","Whether They Attend a Training or Seminar",1,,,
"39-03-54-61",2,"weai_20","If They will Adopt or Use the New Techniques/Knowledge They Have Acquired or Learned",1,,,
"39-03-54-61",2,"weai_21","Use of Land",1,,,
"86-35-86-55",1,"weai_6","Purchase and Sale of Livestock Like Cattle and Goats (E.g. which to Buy, where/when to Sell, Etc.)",1,2,,
"86-35-86-55",1,"weai_7","How any Cash Earned from the Sale of Livestock or Livestock Products Like Milk and Eggs is Spent?",1,2,,
"86-35-86-55",1,"weai_8","The Use of Large Livestock (Cattle, Donkey)",1,2,,
"86-35-86-55",1,"weai_9","The Use of Small Livestock (Goats, Sheep, Poultry)",1,2,,
"86-35-86-55",1,"weai_10","The Types of Non-Agricultural Activities your Household Involves Itself In, Such as Small Business, Casual and Wage Labour, and Providing Services to Others",1,2,,
"86-35-86-55",1,"weai_11","How any Cash Earned from Wage Work or Non-Farm Work is Spent",1,2,,
"86-35-86-55",1,"weai_12","How Much Money to Spend on Food?",1,2,,
"86-35-86-55",1,"weai_13","How Much Money to Spend on Capital Investments (Machinery, Water Pumps, Etc.) for Agriculture?",1,2,,
"86-35-86-55",1,"weai_14","Purchase and Sale of Durable Goods (E.g., Purchase and Sale of TVs, Radios, Fridge)",1,2,,
"86-35-86-55",1,"weai_15","Purchase and Sale of Land and Houses?",1,2,,
"86-35-86-55",1,"weai_16","Expenditure on Children's Education",1,2,,
"86-35-86-55",1,"weai_17","How to Allocate Remittances",1,2,,
"86-35-86-55",1,"weai_18","Whether to Borrow Money and How Much to Borrow?",1,2,,
"86-35-86-55",1,"weai_19","Whether They Attend a Training or Seminar",1,2,,
"86-35-86-55",1,"weai_20","If They will Adopt or Use the New Techniques/Knowledge They Have Acquired or Learned",1,2,,
"86-35-86-55",1,"weai_21","Use of Land",1,2,,
"86-35-86-55",2,"weai_6","Purchase and Sale of Livestock Like Cattle and Goats (E.g. which to Buy, where/when to Sell, Etc.)",1,2,,
"86-35-86-55",2,"weai_7","How any Cash Earned from the Sale of Livestock or Livestock Products Like Milk and Eggs is Spent?",1,2,,
"86-35-86-55",2,"weai_8","The Use of Large Livestock (Cattle, Donkey)",1,2,,
"86-35-86-55",2,"weai_9","The Use of Small Livestock (Goats, Sheep, Poultry)",1,2,,
"86-35-86-55",2,"weai_10","The Types of Non-Agricultural Activities your Household Involves Itself In, Such as Small Business, Casual and Wage Labour, and Providing Services to Others",1,2,,
"86-35-86-55",2,"weai_11","How any Cash Earned from Wage Work or Non-Farm Work is Spent",1,2,,
"86-35-86-55",2,"weai_12","How Much Money to Spend on Food?",1,2,,
"86-35-86-55",2,"weai_13","How Much Money to Spend on Capital Investments (Machinery, Water Pumps, Etc.) for Agriculture?",1,2,,
"86-35-86-55",2,"weai_14","Purchase and Sale of Durable Goods (E.g., Purchase and Sale of TVs, Radios, Fridge)",1,2,,
"86-35-86-55",2,"weai_15","Purchase and Sale of Land and Houses?",1,2,,
"86-35-86-55",2,"weai_16","Expenditure on Children's Education",1,2,,
"86-35-86-55",2,"weai_17","How to Allocate Remittances",1,2,,
"86-35-86-55",2,"weai_18","Whether to Borrow Money and How Much to Borrow?",1,2,,
"86-35-86-55",2,"weai_19","Whether They Attend a Training or Seminar",1,2,,
"86-35-86-55",2,"weai_20","If They will Adopt or Use the New Techniques/Knowledge They Have Acquired or Learned",1,2,,
"86-35-86-55",2,"weai_21","Use of Land",1,2,,
"88-11-61-94",1,"weai_1","Crop Farming like what Crop to Grow, when and How to Till and Manage the Crops (Weeding, Fertilizer, Etc.)",1,,,
"88-11-61-94",1,"weai_2","Marketing of Crop Farm Produce (when/Whom/where to Sell, Who Negotiates the Price)?",1,,,
"88-11-61-94",1,"weai_3","How any Cash Earned from Crop Farming is Spent?",1,,,
"88-11-61-94",1,"weai_4","How Much Money to Spend on Farm Inputs?",1,2,,
"88-11-61-94",1,"weai_5","Who Makes the Decision if the Household Need to Consult an Agricultural Technician, Extension Agent, or Other People Who are Experts",1,,,
"88-11-61-94",1,"weai_6","Purchase and Sale of Livestock Like Cattle and Goats (E.g. which to Buy, where/when to Sell, Etc.)",1,,,
"88-11-61-94",1,"weai_7","How any Cash Earned from the Sale of Livestock or Livestock Products Like Milk and Eggs is Spent?",1,,,
"88-11-61-94",1,"weai_8","The Use of Large Livestock (Cattle, Donkey)",1,,,
"88-11-61-94",1,"weai_9","The Use of Small Livestock (Goats, Sheep, Poultry)",1,,,
"88-11-61-94",1,"weai_10","The Types of Non-Agricultural Activities your Household Involves Itself In, Such as Small Business, Casual and Wage Labour, and Providing Services to Others",1,,,
"88-11-61-94",1,"weai_11","How any Cash Earned from Wage Work or Non-Farm Work is Spent",1,,,
"88-11-61-94",1,"weai_12","How Much Money to Spend on Food?",1,2,,
"88-11-61-94",1,"weai_13","How Much Money to Spend on Capital Investments (Machinery, Water Pumps, Etc.) for Agriculture?",1,,,
"88-11-61-94",1,"weai_14","Purchase and Sale of Durable Goods (E.g., Purchase and Sale of TVs, Radios, Fridge)",1,2,,
"88-11-61-94",1,"weai_15","Purchase and Sale of Land and Houses?",1,2,,
"88-11-61-94",1,"weai_16","Expenditure on Children's Education",1,2,,
"88-11-61-94",1,"weai_17","How to Allocate Remittances",1,,,
"88-11-61-94",1,"weai_18","Whether to Borrow Money and How Much to Borrow?",1,2,,
"88-11-61-94",1,"weai_19","Whether They Attend a Training or Seminar",1,,,
"88-11-61-94",1,"weai_20","If They will Adopt or Use the New Techniques/Knowledge They Have Acquired or Learned",1,2,,
"88-11-61-94",1,"weai_21","Use of Land",1,2,,
"88-11-61-94",2,"weai_1","Crop Farming like what Crop to Grow, when and How to Till and Manage the Crops (Weeding, Fertilizer, Etc.)",1,,,
"88-11-61-94",2,"weai_2","Marketing of Crop Farm Produce (when/Whom/where to Sell, Who Negotiates the Price)?",1,,,
"88-11-61-94",2,"weai_3","How any Cash Earned from Crop Farming is Spent?",1,,,
"88-11-61-94",2,"weai_4","How Much Money to Spend on Farm Inputs?",1,2,,
"88-11-61-94",2,"weai_5","Who Makes the Decision if the Household Need to Consult an Agricultural Technician, Extension Agent, or Other People Who are Experts",1,,,
